FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2020
A,Annual,BRA,Brazil,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.2
A,Annual,BRN,Brunei Darussalam,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.2
A,Annual,BTN,Bhutan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,1.3
A,Annual,BWA,Botswana,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.1
A,Annual,CAF,Central African Republic,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,1.1
A,Annual,CAN,Canada,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.2
A,Annual,CHE,Switzerland,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.3
A,Annual,CHL,Chile,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.0
A,Annual,CHN,China,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-4.2
A,Annual,CIV,Cote d'Ivoire,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.1
