"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","10.0914","10.1074","10.8206","11.7601","12.6736","13.834","14.2233","14.7587","15.3622","15.9421","17.007","17.4193","17.9588","18.0128","18.1496","18.2334","18.4237","18.6214","18.5265","18.1074","20.7801","21.5981","10.9766","5.1153","2.8083","3.5412","2.5941","3.3384","3.4727","3.1043","3.5697","3.6334","3.1014","3.4708","3.7592","4.4627","4.4457","5.1543","5.6485","4.502","4.2991","4.9041","5.6696","5.4929","5.7607","5.6172","5.3749","5.6892","5.9516","6.4247","6.9145","7.4634","7.7742","7.4987","7.4936","",
"American Samoa","ASM","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.1027","0.1026","0.1249","0.126","0.1123","0.1359","0.1232","0.136","0.136","0.1345","0.133","0.1166","0.1479","0.0857","0.1046","0.105","0.111","0.1466","0.1582","0.1621","0.164","0.1647","0.1658","0.1617","0.1761","0.1842","0.1827","0.1933","0.1979","0.2005","0.1357","0.1326","0.1501","0.1637","0.1664","0.1725","0.1962","0.2146","0.2311","0.2667","0.2789","0.2128","0.2268","0.2598","0.2797","0.291","0.3149","0.2772","0.2872","0.3426","0.326","0.3315","0.343","0.3441","0.3562","",
"Australia","AUS","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","160.6939","162.4245","168.2736","177.635","187.1627","193.9112","196.7003","209.9802","206.3051","212.162","222.3313","223.2913","229.5789","218.0498","223.8353","237.9382","238.398","249.5873","258.3861","274.164","277.715","279.7368","283.1177","287.0291","292.3876","302.6941","312.678","322.3762","342.1206","348.1305","353.8956","360.4279","368.6413","368.1402","381.9789","384.1228","390.1907","400.701","404.3323","410.3013","415.3195","412.862","413.3728","405.7424","396.4423","400.6316","408.6132","411.2113","409.2476","407.9086","392.5458","384.7347","378.0651","377.4957","383.4031","",
"Austria","AUT","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","53.0045","55.6703","57.883","61.1926","58.704","56.3788","61.7152","59.0022","60.905","63.345","61.4898","58.0285","55.8729","55.8885","57.6956","59.1673","57.959","58.5435","57.1467","57.1501","61.564","65.5025","60.5108","60.5672","61.0918","64.0569","67.9763","67.5301","68.0944","66.2257","66.6946","71.3722","73.2194","78.1693","79.6087","80.4137","78.2717","75.4421","75.2415","68.0602","73.7998","72.1872","69.0207","69.6088","65.9262","67.3632","67.7745","70.0851","67.2508","68.7767","62.9162","66.2034","62.6472","58.4761","58.0304","",
"Azerbaijan","AZE","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","24.1529","24.1757","25.7965","27.9711","30.1523","32.6553","33.6631","34.8874","36.8102","38.2238","40.2754","41.4917","42.2707","43.1303","43.9104","44.6353","45.5097","46.4817","46.3751","46.5075","56.1244","54.8342","44.9015","39.385","34.5121","33.88","28.402","27.4204","27.377","27.3928","28.7946","27.7171","27.4864","29.7755","29.5011","31.2193","31.9395","28.9209","32.2309","27.9826","26.6362","29.4692","32.2811","33.2118","34.7247","34.5229","34.4155","34.226","34.7625","36.9819","35.4067","37.4242","39.6836","41.7458","38.8875","",
"Burundi","BDI","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.0583","0.0584","0.0582","0.06","0.0642","0.0665","0.0688","0.0711","0.0723","0.0823","0.0812","0.0884","0.0737","0.0898","0.1064","0.1064","0.1116","0.1622","0.2297","0.2439","0.2008","0.2847","0.2237","0.2488","0.2577","0.2539","0.2724","0.2705","0.2867","0.299","0.2925","0.2358","0.2227","0.1851","0.2191","0.184","0.2304","0.3728","0.2207","0.2224","0.3199","0.4154","0.3993","0.4522","0.4055","0.435","0.4859","0.5463","0.7765","0.7652","0.9258","0.8974","0.9301","0.9495","0.9687","",
"Belgium","BEL","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","139.5287","129.4105","141.0189","146.4168","145.2484","127.9607","137.6049","135.0231","139.4476","148.691","137.7906","125.8817","118.139","108.4523","111.2477","108.8181","109.3824","109.4873","111.7399","112.8149","115.8157","119.7343","117.6155","115.6992","122.0309","122.3064","127.3074","124.3425","127.3085","122.9722","124.8977","125.7555","118.493","123.3712","121.9791","119.0079","116.0773","112.9137","114.2497","107.2918","114.9031","104.4948","103.0142","104.3595","97.7801","102.4165","101.3516","99.7694","100.4585","100.3135","91.9274","96.0214","89.6767","85.7301","86.6463","",
"Benin","BEN","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.4604","0.3625","0.4625","0.4774","0.4899","0.5496","0.3669","0.4281","0.4551","0.5106","0.5365","0.4462","0.5178","0.5109","0.5248","0.6179","0.5541","0.5035","0.456","0.4022","0.3986","0.3505","0.3808","0.3854","0.3921","0.3986","1.0761","1.3648","1.3155","1.4415","1.5461","1.8573","2.1429","2.4","2.5584","2.8015","3.8591","4.3986","4.3662","4.6845","5.0815","4.9611","4.7249","4.9707","5.4598","5.8104","7.1473","7.2445","8.251","8.1435","8.7059","6.7467","7.0594","6.8922","7.0481","",
"Burkina Faso","BFA","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.2267","0.2269","0.2261","0.2336","0.2514","0.2611","0.2705","0.2797","0.2844","0.3267","0.3211","0.3082","0.2875","0.3139","0.304","0.2941","0.358","0.5081","0.4985","0.4131","0.3273","0.4625","0.395","0.414","0.4512","0.4637","0.5131","0.8142","0.772","0.8081","0.8726","1.0203","1.0828","1.2062","1.0691","1.1383","1.1497","1.6344","1.9003","1.8421","1.9623","2.2171","2.5815","3.0405","2.7537","3.9361","3.9314","4.5408","5.412","5.6993","5.7011","6.4371","6.4885","6.2637","6.4757","",
